player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
James Burgess,/players/B/BurgJa01.htm,1,0,0,0,0,0,0
Trevon Coley,/players/C/ColeTr01.htm,1,0,0,0,0,0,0
Myles Garrett,/players/G/GarrMy00.htm,0,0,0,0,0,1,0
Derrick Kindred,/players/K/KindDe00.htm,0,0,0,0,0,0,1
Christian Kirksey,/players/K/KirkCh00.htm,1,0,0,0,0,1,1
Jamie Meder,/players/M/MedeJa00.htm,1,0,0,0,0,0,0
Carl Nassib,/players/N/NassCa00.htm,0,0,0,0,0,1,0
Emmanuel Ogbah,/players/O/OgbaEm00.htm,0,0,0,1,0,0,0
Jabrill Peppers,/players/P/PeppJa00.htm,1,0,0,1,0,0,0
Joe Schobert,/players/S/SchoJo00.htm,2,0,0,1,0,0,0
Danny Shelton,/players/S/ShelDa01.htm,1,0,0,0,0,0,1
Jarrad Davis,/players/D/DaviJa01.htm,1,0,0,1,0,0,0
Quandre Diggs,/players/D/DiggQu00.htm,0,1,0,1,0,1,1
D.J. Hayden,/players/H/HaydDJ00.htm,0,0,0,1,0,0,0
Nevin Lawson,/players/L/LawsNe00.htm,0,0,0,1,0,0,0
Jeremiah Ledbetter,/players/L/LedbJe00.htm,0,0,0,1,0,0,0
Glover Quin,/players/Q/QuinGl99.htm,0,0,0,1,0,1,1
A'Shawn Robinson,/players/R/RobiAS00.htm,0,0,0,4,0,0,0
Jacquies Smith,/players/S/SmitJa01.htm,1,0,0,0,0,0,0
Akeem Spence,/players/S/SpenAk00.htm,0,1,0,1,0,0,0
Khyri Thornton,/players/T/ThorKh00.htm,1,0,0,1,0,0,0
Cornelius Washington,/players/W/WashCo00.htm,0,0,0,1,0,1,0
Tahir Whitehead,/players/W/WhitTa00.htm,0,0,0,1,0,3,1
Tavon Wilson,/players/W/WilsTa00.htm,1,0,0,1,0,1,0
Paul Worrilow,/players/W/WorrPa00.htm,0,0,0,4,0,1,0
Anthony Zettel,/players/Z/ZettAn00.htm,1,0,0,2,0,0,1
