player_name,player_link
Geno Atkins,/players/A/AtkiGe99.htm,0,0,0,0,1,0,0
Andrew Billings,/players/B/BillAn00.htm,0,2,0,1,1,0,0
Vontaze Burfict,/players/B/BurfVo00.htm,1,0,0,0,1,0,0
Darqueze Dennard,/players/D/DennDa00.htm,1,0,0,0,0,0,0
Carlos Dunlap,/players/D/DunlCa99.htm,1,0,1,0,0,0,1
Jordan Evans,/players/E/EvanJo01.htm,0,1,0,0,0,0,0
Clayton Fejedelem,/players/F/FejeCl00.htm,3,0,0,0,0,1,0
Ryan Glasgow,/players/G/GlasRy00.htm,0,0,0,1,0,0,0
George Iloka,/players/I/IlokGe00.htm,0,0,1,1,0,1,0
William Jackson,/players/J/JackWi02.htm,1,0,0,0,0,0,0
Michael Johnson,/players/J/JohnMi98.htm,0,0,1,0,0,0,0
Adam Jones,/players/J/JonePa20.htm,1,1,0,0,0,0,0
Dre Kirkpatrick,/players/K/KirkDr00.htm,0,0,0,0,0,2,0
Vincent Rey,/players/R/ReyxVi00.htm,0,0,2,1,0,2,0
Josh Shaw,/players/S/ShawJo00.htm,1,0,0,2,0,0,0
Chris Smith,/players/S/SmitCh03.htm,0,0,0,0,0,0,1
Nick Vigil,/players/V/VigiNi00.htm,0,1,0,2,1,0,0
Jordan Willis,/players/W/WillJo09.htm,0,1,0,0,0,0,0
Kevin Byard,/players/B/ByarKe01.htm,0,1,0,2,0,1,0
Jurrell Casey,/players/C/CaseJu00.htm,0,0,0,0,0,0,1
Johnathan Cyprien,/players/C/CyprJo00.htm,0,0,0,0,0,1,0
Adoree' Jackson,/players/J/JackAd00.htm,1,0,0,0,0,0,0
Erik Walden,/players/W/WaldEr99.htm,0,2,0,0,0,0,0
Sylvester Williams,/players/W/WillSy00.htm,0,0,0,0,0,1,0
Wesley Woodyard,/players/W/WoodWe20.htm,0,1,0,0,0,2,1
