player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Vince Biegel,/players/B/BiegVi00.htm,0,0,1,0,0,0,0
Ahmad Brooks,/players/B/BrooAh21.htm,0,0,0,1,0,0,0
Morgan Burnett,/players/B/BurnMo99.htm,0,0,2,1,1,0,0
Ha Ha Clinton-Dix,/players/C/ClinHa00.htm,0,0,0,1,0,0,0
Mike Daniels,/players/D/DaniMi00.htm,0,1,1,4,1,0,0
Quinton Dial,/players/D/DialQu00.htm,0,0,1,0,0,0,0
Kyler Fackrell,/players/F/FackKy00.htm,0,0,0,1,0,0,0
Josh Hawkins,/players/H/HawkJo00.htm,0,0,1,0,0,0,0
Josh Jones,/players/J/JoneJo06.htm,0,0,0,1,0,0,0
Kevin King,/players/K/KingKe01.htm,1,0,0,0,0,0,0
Dean Lowry,/players/L/LowrDe00.htm,0,1,0,0,0,0,0
Blake Martinez,/players/M/MartBl01.htm,0,1,0,3,2,1,0
Nick Perry,/players/P/PerrNi00.htm,0,0,0,0,1,0,0
Damarious Randall,/players/R/RandDa00.htm,0,0,0,1,0,1,0
Jake Ryan,/players/R/RyanJa00.htm,0,0,0,2,2,0,0
Tyson Alualu,/players/A/AluaTy99.htm,0,0,0,0,1,0,0
Artie Burns,/players/B/BurnAr00.htm,1,0,0,0,0,0,0
Sean Davis,/players/D/DaviSe00.htm,0,0,0,2,0,0,0
Bud Dupree,/players/D/DuprAl00.htm,0,0,0,1,2,0,0
William Gay,/players/G/GayxWi99.htm,0,0,0,0,0,0,1
Javon Hargrave,/players/H/HargJa00.htm,0,0,0,1,0,0,0
Cameron Heyward,/players/H/HeywCa01.htm,0,0,0,1,2,0,0
Mike Hilton,/players/H/HiltMi01.htm,0,0,1,1,1,0,0
Mike Mitchell,/players/M/MitcMi99.htm,0,0,1,1,0,0,0
Ryan Shazier,/players/S/ShazRy00.htm,0,0,1,2,0,1,0
Stephon Tuitt,/players/T/TuitSt00.htm,0,0,1,1,0,0,0
T.J. Watt,/players/W/WattT.00.htm,0,0,0,1,1,0,0
Vince Williams,/players/W/WillVi01.htm,0,0,0,3,1,0,0
