player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Andrew Adams,/players/A/AdamAn01.htm,0,0,0,2,0,0,0
Ray-Ray Armstrong,/players/A/ArmsRa01.htm,0,0,0,2,0,0,0
Jay Bromley,/players/B/BromJa00.htm,0,0,0,1,0,0,0
Ross Cockrell,/players/C/CockRo00.htm,0,0,0,1,0,0,0
Brandon Dixon,/players/D/DixoBr00.htm,0,0,0,1,0,0,0
Damon Harrison,/players/H/HarrDa03.htm,0,0,0,5,0,0,0
Darryl Morris,/players/M/MorrDa01.htm,0,0,0,1,0,0,0
Calvin Munson,/players/M/MunsCa00.htm,1,0,0,1,0,1,0
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,2,0,0,0
Kelvin Sheppard,/players/S/ShepKe00.htm,0,0,0,3,0,2,0
Darian Thompson,/players/T/ThomDa05.htm,0,0,0,0,0,0,2
Dalvin Tomlinson,/players/T/TomlDa00.htm,0,0,0,3,0,0,0
Olivier Vernon,/players/V/VernOl00.htm,0,0,0,1,0,0,0
Budda Baker,/players/B/BakeBu00.htm,0,2,0,3,0,0,0
Antoine Bethea,/players/B/BethAn20.htm,0,0,0,2,0,0,0
Deone Bucannon,/players/B/BucaDe00.htm,0,0,0,4,0,0,0
Karlos Dansby,/players/D/DansKa20.htm,0,1,0,1,0,0,0
Rodney Gunter,/players/G/GuntRo00.htm,0,0,0,2,0,0,0
Chandler Jones,/players/J/JoneCh03.htm,0,0,0,1,0,0,0
Kareem Martin,/players/M/MartKa00.htm,0,0,0,2,0,0,0
Tyrann Mathieu,/players/M/MathTy00.htm,0,0,0,1,0,0,0
Josh Mauro,/players/M/MaurJo00.htm,0,0,0,2,0,0,0
Corey Peters,/players/P/PeteCo00.htm,0,1,0,0,0,0,0
Patrick Peterson,/players/P/PetePa00.htm,0,0,0,1,0,0,0
Olsen Pierre,/players/P/PierOl00.htm,0,0,0,2,0,0,0
Frostee Rucker,/players/R/RuckFr99.htm,0,0,0,1,0,0,0
