player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Mike Adams,/players/A/AdamMi21.htm,1,1,0,0,0,0,0
Mario Addison,/players/A/AddiMa00.htm,0,0,0,0,0,1,0
James Bradberry,/players/B/BradJa00.htm,0,1,1,0,0,1,0
Kurt Coleman,/players/C/ColeKu99.htm,0,1,0,0,0,1,0
Bryan Cox,/players/C/CoxxBr01.htm,0,0,1,0,0,1,0
Luke Kuechly,/players/K/KuecLu00.htm,0,2,0,0,0,1,1
Star Lotulelei,/players/L/LotuSt00.htm,0,1,1,0,0,0,0
Kyle Love,/players/L/LoveKy00.htm,0,0,2,0,0,0,0
David Mayo,/players/M/MayoDa00.htm,0,0,1,0,1,0,0
Captain Munnerlyn,/players/M/MunnCa99.htm,0,0,0,0,0,1,0
Julius Peppers,/players/P/PeppJu99.htm,0,0,0,0,1,0,0
Kawann Short,/players/S/ShorKa00.htm,0,2,0,0,0,0,0
Shaq Thompson,/players/T/ThomSh01.htm,1,0,0,0,0,0,0
Daryl Worley,/players/W/WorlDa00.htm,0,0,0,0,1,0,0
Vonn Bell,/players/B/BellVo00.htm,0,0,0,0,1,0,1
Tyeler Davison,/players/D/DaviTy01.htm,1,0,2,0,1,0,0
Trey Hendrickson,/players/H/HendTr00.htm,0,0,0,0,0,1,0
John Hughes,/players/H/HughJo00.htm,0,1,0,1,0,0,1
Cameron Jordan,/players/J/JordCa00.htm,1,1,0,1,1,0,0
A.J. Klein,/players/K/KleiAJ00.htm,1,0,0,0,0,0,1
David Onyemata,/players/O/OnyeDa00.htm,0,1,1,0,1,1,0
Sheldon Rankins,/players/R/RankSh00.htm,1,0,0,0,1,0,0
Craig Robertson,/players/R/RobeCr00.htm,0,0,1,0,0,1,0
Manti Te'o,/players/T/TeoxMa00.htm,0,0,0,0,0,1,0
Kenny Vaccaro,/players/V/VaccKe00.htm,0,0,0,0,1,0,0
P.J. Williams,/players/W/WillP.00.htm,1,0,0,0,0,0,0
