player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Kiko Alonso,/players/A/AlonKi00.htm,0,0,1,2,1,1,0
Andre Branch,/players/B/BranAn00.htm,0,0,1,0,0,0,0
Davon Godchaux,/players/G/GodcDa00.htm,1,0,1,1,1,0,0
William Hayes,/players/H/HayeWi99.htm,0,0,0,1,0,1,0
Reshad Jones,/players/J/JoneRe99.htm,0,0,2,3,1,0,0
Rey Maualuga,/players/M/MauaRe99.htm,1,1,1,2,1,0,0
T.J. McDonald,/players/M/McDoTJ00.htm,0,0,1,1,2,2,0
Ndamukong Suh,/players/S/SuhxNd99.htm,1,0,1,1,0,0,0
Cordrea Tankersley,/players/T/TankCo00.htm,1,0,0,1,1,1,0
Vincent Taylor,/players/T/TaylVi00.htm,0,0,0,2,1,0,0
Lawrence Timmons,/players/T/TimmLa99.htm,0,1,0,2,1,1,0
Cameron Wake,/players/W/WakeCa00.htm,0,0,0,0,1,0,0
Mike Adams,/players/A/AdamMi21.htm,0,0,1,0,1,0,0
Mario Addison,/players/A/AddiMa00.htm,0,1,1,0,0,0,0
James Bradberry,/players/B/BradJa00.htm,0,0,0,0,0,1,0
Vernon Butler,/players/B/ButlVe00.htm,0,0,0,1,0,0,0
Thomas Davis,/players/D/DaviTh20.htm,0,0,0,1,0,0,0
Charles Johnson,/players/J/JohnCh08.htm,0,0,0,1,0,1,0
Luke Kuechly,/players/K/KuecLu00.htm,0,1,0,2,0,0,0
Star Lotulelei,/players/L/LotuSt00.htm,0,0,0,1,0,0,0
Kyle Love,/players/L/LoveKy00.htm,0,0,0,1,0,0,0
David Mayo,/players/M/MayoDa00.htm,0,0,0,1,0,0,0
Julius Peppers,/players/P/PeppJu99.htm,0,0,0,1,0,0,0
Kawann Short,/players/S/ShorKa00.htm,0,0,2,2,0,2,0
Shaq Thompson,/players/T/ThomSh01.htm,0,1,0,0,0,0,0
