player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Richard Ash,/players/A/AshxRi00.htm,0,0,1,0,2,0,0
Chidobe Awuzie,/players/A/AwuzCh00.htm,0,0,0,0,0,1,1
Taco Charlton,/players/C/CharTa00.htm,0,0,0,2,0,0,0
Tyrone Crawford,/players/C/CrawTy00.htm,0,1,0,0,1,0,0
Kavon Frazier,/players/F/FrazKa00.htm,0,1,0,0,1,0,0
Jeff Heath,/players/H/HeatJe00.htm,0,0,0,1,0,1,0
Anthony Hitchens,/players/H/HitcAn00.htm,0,1,1,5,0,1,0
Byron Jones,/players/J/JoneBy00.htm,1,1,0,0,1,0,0
Datone Jones,/players/J/JoneDa03.htm,1,0,1,0,0,0,0
Demarcus Lawrence,/players/L/LawrDe00.htm,0,1,1,0,2,0,0
Sean Lee,/players/L/LeexSe99.htm,0,2,0,2,2,0,1
Benson Mayowa,/players/M/MayoBe00.htm,0,1,0,1,1,0,0
Damien Wilson,/players/W/WilsDa02.htm,1,0,0,0,0,0,0
Xavier Woods,/players/W/WoodXa00.htm,0,0,0,0,0,0,1
Jay Bromley,/players/B/BromJa00.htm,0,0,0,0,1,0,0
Ross Cockrell,/players/C/CockRo00.htm,0,0,0,0,0,2,1
Landon Collins,/players/C/CollLa00.htm,1,0,0,1,0,1,0
Brandon Dixon,/players/D/DixoBr00.htm,1,0,0,0,0,0,0
Damon Harrison,/players/H/HarrDa03.htm,1,0,0,0,0,1,1
Devon Kennard,/players/K/KennDe00.htm,0,0,0,0,1,1,2
Darryl Morris,/players/M/MorrDa01.htm,0,1,0,0,0,0,0
Calvin Munson,/players/M/MunsCa00.htm,1,0,0,0,1,2,2
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,0,2,1,2
Dominique Rodgers-Cromartie,/players/R/RodgDo99.htm,0,0,0,0,1,0,0
Kelvin Sheppard,/players/S/ShepKe00.htm,1,1,0,0,0,1,3
Darian Thompson,/players/T/ThomDa05.htm,0,0,1,0,1,0,0
Robert Thomas,/players/T/ThomRo04.htm,1,1,0,0,0,0,0
Dalvin Tomlinson,/players/T/TomlDa00.htm,0,0,0,1,0,2,0
Olivier Vernon,/players/V/VernOl00.htm,0,0,1,0,0,0,0
Kerry Wynn,/players/W/WynnKe00.htm,0,1,0,0,0,0,0
