player_name,player_link
Robert Alford,/players/A/AlfoRo00.htm,1,1,0,0,0,0,0
Vic Beasley,/players/B/BeasVi00.htm,1,0,0,0,0,0,0
De'Vondre Campbell,/players/C/CampDe00.htm,1,1,0,0,0,0,0
Kemal Ishmael,/players/I/IshmKe00.htm,1,0,0,0,0,0,0
Grady Jarrett,/players/J/JarrGr00.htm,0,0,0,0,0,1,0
Deion Jones,/players/J/JoneDe01.htm,1,0,0,1,0,1,0
Damontae Kazee,/players/K/KazeDa00.htm,1,0,0,0,0,0,0
Takkarist McKinley,/players/M/McKiTa00.htm,0,0,0,0,0,1,0
Keanu Neal,/players/N/NealKe01.htm,0,1,1,1,0,1,0
Dontari Poe,/players/P/PoexDo00.htm,0,1,0,0,0,1,0
Brian Poole,/players/P/PoolBr01.htm,0,0,0,1,0,0,1
Ahtyba Rubin,/players/R/RubiAh99.htm,0,1,0,0,0,0,1
Derrick Shelby,/players/S/ShelDe00.htm,0,1,0,1,0,0,0
Desmond Trufant,/players/T/TrufDe00.htm,0,0,0,0,0,2,0
Courtney Upshaw,/players/U/UpshCo00.htm,0,1,0,0,0,1,0
Michael Bennett,/players/B/BennMi99.htm,0,0,0,2,0,0,0
Terence Garvin,/players/G/GarvTe00.htm,0,1,0,1,0,0,0
Shaquill Griffin,/players/G/GrifSh00.htm,1,0,0,0,0,0,0
Nazair Jones,/players/J/JoneNa00.htm,1,1,0,0,0,2,0
Dion Jordan,/players/J/JordDi00.htm,0,2,0,0,0,0,2
Jeremy Lane,/players/L/LaneJe00.htm,0,1,0,0,0,1,1
Bradley McDougald,/players/M/McDoBr01.htm,0,1,0,2,0,0,0
Sheldon Richardson,/players/R/RichSh00.htm,1,0,0,1,0,2,1
Earl Thomas,/players/T/ThomEa99.htm,1,0,0,0,0,1,0
Bobby Wagner,/players/W/WagnBo00.htm,0,2,0,0,0,1,0
K.J. Wright,/players/W/WrigK.00.htm,0,0,0,1,0,3,1
