player_name,player_link
Jahleel Addae,/players/A/AddaJa00.htm,0,1,1,3,0,1,0
Joey Bosa,/players/B/BosaJo00.htm,0,0,1,1,0,1,0
Tre Boston,/players/B/BostTr00.htm,0,0,0,1,1,0,0
Jatavis Brown,/players/B/BrowJa05.htm,0,0,0,1,0,0,0
Casey Hayward,/players/H/HaywCa00.htm,0,0,0,1,0,0,0
Melvin Ingram,/players/I/IngrMe00.htm,1,0,0,0,0,1,0
Chris McCain,/players/M/McCaCh00.htm,0,0,0,1,0,0,0
Tenny Palepoi,/players/P/PaleTe00.htm,0,1,1,0,0,0,0
Adrian Phillips,/players/P/PhilAd00.htm,1,0,0,0,2,0,0
Darius Philon,/players/P/PhilDa01.htm,0,0,0,1,0,0,0
Hayes Pullard,/players/P/PullHa00.htm,0,0,2,3,1,0,0
Damion Square,/players/S/SquaDa00.htm,0,1,0,1,1,0,0
Korey Toomer,/players/T/ToomKo00.htm,0,0,0,3,0,0,0
Trevor Williams,/players/W/WillTr05.htm,0,2,0,0,1,0,0
Johnson Bademosi,/players/B/BadeJo00.htm,0,0,0,0,1,0,0
Adam Butler,/players/B/ButlAd00.htm,0,0,0,2,0,0,0
Malcolm Butler,/players/B/ButlMa01.htm,0,0,0,0,0,0,1
Patrick Chung,/players/C/ChunPa99.htm,0,0,0,0,0,0,1
Trey Flowers,/players/F/FlowTr00.htm,0,0,0,1,0,0,1
Lawrence Guy,/players/G/GuyxLa00.htm,1,0,0,1,1,0,0
Cassius Marsh,/players/M/MarsCa00.htm,1,0,0,0,1,0,0
Devin McCourty,/players/M/McCoDe99.htm,1,0,0,0,0,0,1
Jordan Richards,/players/R/RichJo00.htm,0,1,0,0,0,0,0
Elandon Roberts,/players/R/RobeEl00.htm,0,1,0,2,0,0,1
Deatrich Wise Jr.,/players/W/WiseDe00.htm,0,0,0,1,0,0,0
