player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Ezekiel Ansah,/players/A/AnsaEz00.htm,0,0,0,3,0,0,0
Nick Bellore,/players/B/BellNi01.htm,0,1,0,0,0,0,1
Quandre Diggs,/players/D/DiggQu00.htm,0,0,0,1,0,0,0
George Johnson,/players/J/JohnGe00.htm,0,0,0,1,0,0,0
Miles Killebrew,/players/K/KillMi00.htm,0,0,0,1,1,0,1
Nevin Lawson,/players/L/LawsNe00.htm,0,0,1,1,0,0,0
Jeremiah Ledbetter,/players/L/LedbJe00.htm,0,0,1,0,0,0,0
Steve Longa,/players/L/LongSt01.htm,0,0,1,0,0,0,0
Glover Quin,/players/Q/QuinGl99.htm,0,1,0,1,0,0,0
A'Shawn Robinson,/players/R/RobiAS00.htm,0,1,0,1,0,0,0
Tahir Whitehead,/players/W/WhitTa00.htm,0,0,0,1,1,0,1
Tavon Wilson,/players/W/WilsTa00.htm,0,0,0,1,0,0,0
Anthony Zettel,/players/Z/ZettAn00.htm,0,0,0,0,0,0,1
Anthony Barr,/players/B/BarrAn00.htm,0,0,0,0,1,1,1
Ben Gedeon,/players/G/GedeBe00.htm,0,0,0,1,0,0,0
Everson Griffen,/players/G/GrifEv99.htm,1,1,2,0,0,0,0
Danielle Hunter,/players/H/HuntDa01.htm,0,0,0,2,0,1,0
Tom Johnson,/players/J/JohnTo01.htm,0,0,0,1,1,0,0
Linval Joseph,/players/J/JoseLi99.htm,0,0,2,0,3,1,1
Eric Kendricks,/players/K/KendEr00.htm,0,0,0,2,0,0,0
Xavier Rhodes,/players/R/RhodXa00.htm,1,0,0,0,0,0,0
Brian Robison,/players/R/RobiBr98.htm,0,0,0,0,1,0,1
Andrew Sendejo,/players/S/SendAn00.htm,3,0,0,1,2,0,0
Harrison Smith,/players/S/SmitHa00.htm,1,0,0,2,0,1,0
Shamar Stephen,/players/S/StepSh00.htm,0,0,0,1,0,0,0
Trae Waynes,/players/W/WaynTr00.htm,1,0,0,1,0,0,0
