player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Anthony Barr,/players/B/BarrAn00.htm,0,0,0,1,0,0,0
Everson Griffen,/players/G/GrifEv99.htm,1,0,0,0,0,0,0
Tom Johnson,/players/J/JohnTo01.htm,0,0,0,1,0,0,0
Linval Joseph,/players/J/JoseLi99.htm,2,0,0,0,0,0,0
Eric Kendricks,/players/K/KendEr00.htm,1,0,0,1,0,0,0
Xavier Rhodes,/players/R/RhodXa00.htm,1,0,0,0,0,0,0
Andrew Sendejo,/players/S/SendAn00.htm,1,0,0,2,0,0,0
Harrison Smith,/players/S/SmitHa00.htm,0,0,0,0,0,0,1
Trae Waynes,/players/W/WaynTr00.htm,1,0,0,0,0,0,1
Ezekiel Ansah,/players/A/AnsaEz00.htm,0,0,0,0,0,1,0
Jarrad Davis,/players/D/DaviJa01.htm,1,2,0,2,0,1,1
Quandre Diggs,/players/D/DiggQu00.htm,1,0,0,0,0,0,0
D.J. Hayden,/players/H/HaydDJ00.htm,0,1,0,0,0,0,0
Miles Killebrew,/players/K/KillMi00.htm,0,1,0,0,0,1,0
Nevin Lawson,/players/L/LawsNe00.htm,0,0,0,1,0,0,1
Glover Quin,/players/Q/QuinGl99.htm,0,0,0,1,0,0,0
A'Shawn Robinson,/players/R/RobiAS00.htm,0,0,0,4,0,2,0
Darius Slay,/players/S/SlayDa00.htm,0,0,0,1,0,0,0
Akeem Spence,/players/S/SpenAk00.htm,0,0,0,2,0,0,0
Cornelius Washington,/players/W/WashCo00.htm,0,0,0,0,0,0,1
Tahir Whitehead,/players/W/WhitTa00.htm,1,0,0,4,0,3,2
Tavon Wilson,/players/W/WilsTa00.htm,0,0,0,0,0,0,1
Paul Worrilow,/players/W/WorrPa00.htm,0,1,0,0,0,1,2
