player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Eli Ankou,/players/A/AnkoEl00.htm,0,0,0,1,0,0,0
Calais Campbell,/players/C/CampCa99.htm,0,0,1,1,1,1,1
Barry Church,/players/C/ChurBa99.htm,0,0,0,2,1,0,0
Aaron Colvin,/players/C/ColvAa00.htm,0,0,0,1,0,0,0
Sheldon Day,/players/D/DayxSh00.htm,0,0,0,1,0,0,0
Tashaun Gipson,/players/G/GipsTa00.htm,0,0,1,0,1,2,0
Malik Jackson,/players/J/JackMa02.htm,1,0,0,0,0,0,0
Myles Jack,/players/J/JackMy00.htm,0,2,1,1,0,0,1
Abry Jones,/players/J/JoneAb00.htm,0,1,0,1,1,0,0
Paul Posluszny,/players/P/PoluPa99.htm,0,0,0,0,1,1,0
Telvin Smith,/players/S/SmitTe01.htm,0,1,2,3,1,1,0
Jamal Adams,/players/A/AdamJa00.htm,1,1,1,0,0,0,1
David Bass,/players/B/BassDa00.htm,1,0,0,3,1,0,0
Juston Burris,/players/B/BurrJu00.htm,0,0,0,0,0,0,1
Morris Claiborne,/players/C/ClaiMo00.htm,0,0,1,0,0,0,1
Demario Davis,/players/D/DaviDe00.htm,1,1,3,1,0,0,0
Dylan Donahue,/players/D/DonaDy00.htm,0,0,0,1,1,0,0
Kony Ealy,/players/E/EalyKo00.htm,0,0,0,1,0,0,0
Jordan Jenkins,/players/J/JenkJo01.htm,0,0,1,0,0,0,0
Darron Lee,/players/L/LeexDa00.htm,0,0,1,1,0,0,2
Marcus Maye,/players/M/MayeMa00.htm,1,1,1,0,0,0,0
Steve McLendon,/players/M/McLeSt00.htm,0,0,1,0,1,0,0
Mike Pennel,/players/P/PennMi00.htm,0,0,1,1,1,0,0
Buster Skrine,/players/S/SkriBu00.htm,0,1,0,0,0,0,1
Julian Stanford,/players/S/StanJu00.htm,0,0,1,0,0,0,0
Muhammad Wilkerson,/players/W/WilkMu00.htm,0,2,2,2,0,0,0
Leonard Williams,/players/W/WillLe02.htm,0,0,1,4,1,0,0
