player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Jayon Brown,/players/B/BrowJa06.htm,0,0,2,0,1,0,0
Kevin Byard,/players/B/ByarKe01.htm,0,0,0,0,1,1,0
Jurrell Casey,/players/C/CaseJu00.htm,0,0,1,0,3,0,0
Adoree' Jackson,/players/J/JackAd00.htm,0,0,0,0,0,1,0
DaQuan Jones,/players/J/JoneDa04.htm,1,0,1,0,3,0,0
Karl Klug,/players/K/KlugKa00.htm,0,0,3,0,1,0,0
Brian Orakpo,/players/O/OrakBr99.htm,0,1,1,0,1,0,0
Logan Ryan,/players/R/RyanLo00.htm,0,0,0,0,1,0,0
Da'Norris Searcy,/players/S/SearDa00.htm,0,0,0,0,2,0,0
Avery Williamson,/players/W/WillAv00.htm,1,1,3,0,2,3,1
Wesley Woodyard,/players/W/WoodWe20.htm,0,0,1,0,0,0,0
Caleb Brantley,/players/B/BranCa00.htm,0,0,2,0,0,0,0
Ibraheim Campbell,/players/C/CampIb00.htm,0,0,0,0,0,2,0
Trevon Coley,/players/C/ColeTr01.htm,0,1,1,0,0,1,0
Jamie Collins,/players/C/CollJa00.htm,0,0,0,0,2,2,0
Myles Garrett,/players/G/GarrMy00.htm,0,1,0,0,1,0,0
Derrick Kindred,/players/K/KindDe00.htm,0,0,2,0,1,1,0
Christian Kirksey,/players/K/KirkCh00.htm,1,1,0,0,3,2,1
Jamie Meder,/players/M/MedeJa00.htm,0,0,1,0,0,0,0
Emmanuel Ogbah,/players/O/OgbaEm00.htm,0,0,0,0,3,1,0
Larry Ogunjobi,/players/O/OgunLa00.htm,0,0,1,0,0,0,0
Nate Orchard,/players/O/OrchNa00.htm,0,0,1,0,0,0,0
Joe Schobert,/players/S/SchoJo00.htm,0,0,2,0,4,1,0
Danny Shelton,/players/S/ShelDa01.htm,0,0,2,0,0,1,0
