player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Derek Barnett,/players/B/BarnDe01.htm,0,0,1,0,0,1,0
Nigel Bradham,/players/B/BradNi00.htm,1,0,0,1,0,0,0
Vinny Curry,/players/C/CurrVi00.htm,0,0,0,0,0,1,0
Ronald Darby,/players/D/DarbRo00.htm,0,0,0,1,0,0,0
Brandon Graham,/players/G/GrahBr99.htm,0,1,0,0,0,0,1
Jordan Hicks,/players/H/HickJo00.htm,0,0,1,0,0,0,0
Malcolm Jenkins,/players/J/JenkMa99.htm,0,0,0,0,0,1,2
Timmy Jernigan,/players/J/JernTi00.htm,0,0,0,0,0,0,1
Mychal Kendricks,/players/K/KendMy00.htm,2,0,0,0,0,1,0
Chris Long,/players/L/LongCh99.htm,0,0,1,0,0,0,0
Rodney McLeod,/players/M/McLeRo00.htm,1,0,0,0,0,1,0
Jalen Mills,/players/M/MillJa02.htm,1,0,0,0,0,0,0
Patrick Robinson,/players/R/RobiPa99.htm,0,0,0,0,0,1,1
Destiny Vaeao,/players/V/VaeaDe01.htm,0,0,0,1,0,1,0
Jonathan Allen,/players/A/AlleJo01.htm,1,0,1,1,1,0,0
Zach Brown,/players/B/BrowZa00.htm,2,1,1,2,2,1,1
Deshazor Everett,/players/E/EverDe01.htm,0,0,0,1,1,1,1
Mason Foster,/players/F/FostMa00.htm,0,0,0,0,0,1,1
Kendall Fuller,/players/F/FullKe00.htm,1,0,0,0,0,0,1
Ryan Kerrigan,/players/K/KerrRy00.htm,0,0,1,0,0,1,0
Terrell McClain,/players/M/McClTe00.htm,1,1,0,0,0,0,0
Stacy McGee,/players/M/McGeSt01.htm,0,0,0,0,1,0,0
Preston Smith,/players/S/SmitPr00.htm,1,0,0,0,0,0,0
D.J. Swearinger,/players/S/SweaDJ00.htm,0,0,0,0,0,1,0
