player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Andrew Adams,/players/A/AdamAn01.htm,0,1,0,1,0,0,0
Jay Bromley,/players/B/BromJa00.htm,2,0,0,0,1,1,0
Jonathan Casillas,/players/C/CasiJo99.htm,3,0,0,1,0,1,0
Ross Cockrell,/players/C/CockRo00.htm,2,0,0,0,0,0,0
Landon Collins,/players/C/CollLa00.htm,2,1,0,0,2,1,2
Donte Deayon,/players/D/DeayDo01.htm,0,0,0,0,1,0,0
Damon Harrison,/players/H/HarrDa03.htm,0,0,1,0,0,0,1
Devon Kennard,/players/K/KennDe00.htm,0,0,0,0,0,0,2
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,0,1,0,0
Kelvin Sheppard,/players/S/ShepKe00.htm,2,2,0,0,0,1,0
Darian Thompson,/players/T/ThomDa05.htm,1,0,2,0,0,0,0
Robert Thomas,/players/T/ThomRo04.htm,1,0,0,0,1,0,0
Dalvin Tomlinson,/players/T/TomlDa00.htm,0,0,1,0,0,0,0
Olivier Vernon,/players/V/VernOl00.htm,1,0,0,1,0,0,1
Ryan Anderson,/players/A/AndeRy00.htm,0,0,0,0,0,0,1
Bashaud Breeland,/players/B/BreeBa00.htm,0,1,0,0,0,0,0
Zach Brown,/players/B/BrowZa00.htm,1,3,1,0,0,0,2
Deshazor Everett,/players/E/EverDe01.htm,0,0,0,0,0,1,1
A.J. Francis,/players/F/FranA.00.htm,0,0,1,0,1,0,0
Josh Harvey-Clemons,/players/H/HarvJo01.htm,0,0,0,0,0,1,0
Evander Hood,/players/H/HoodEv99.htm,1,0,0,1,0,1,1
Matthew Ioannidis,/players/I/IoanMa01.htm,0,0,0,1,0,0,0
Ryan Kerrigan,/players/K/KerrRy00.htm,0,0,0,0,0,1,0
Anthony Lanier,/players/L/LaniAn00.htm,0,0,0,0,1,0,0
Stacy McGee,/players/M/McGeSt01.htm,0,0,2,0,1,3,0
Josh Norman,/players/N/NormJo01.htm,0,0,0,1,0,0,0
D.J. Swearinger,/players/S/SweaDJ00.htm,0,1,0,0,0,1,0
Zach Vigil,/players/V/VigiZa00.htm,0,0,0,0,1,0,1
