player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Kevin Byard,/players/B/ByarKe01.htm,0,0,0,0,0,0,1
Jurrell Casey,/players/C/CaseJu00.htm,0,1,0,1,0,0,0
Johnathan Cyprien,/players/C/CyprJo00.htm,0,0,1,2,0,0,0
Kevin Dodd,/players/D/DoddKe00.htm,0,0,0,1,0,0,0
Austin Johnson,/players/J/JohnAu01.htm,0,0,0,1,0,0,0
DaQuan Jones,/players/J/JoneDa04.htm,0,0,0,1,0,1,0
Karl Klug,/players/K/KlugKa00.htm,0,0,0,0,0,1,0
Derrick Morgan,/players/M/MorgDe99.htm,0,0,0,0,0,1,0
Brian Orakpo,/players/O/OrakBr99.htm,0,1,0,0,0,0,0
Logan Ryan,/players/R/RyanLo00.htm,1,0,0,0,0,1,0
Da'Norris Searcy,/players/S/SearDa00.htm,0,0,0,0,0,1,0
Avery Williamson,/players/W/WillAv00.htm,0,2,0,2,1,2,0
Sylvester Williams,/players/W/WillSy00.htm,0,1,0,0,0,1,0
Wesley Woodyard,/players/W/WoodWe20.htm,0,1,0,1,1,1,0
Jonathan Bostic,/players/B/BostJo00.htm,2,0,0,4,0,1,2
Matthias Farley,/players/F/FarlMa00.htm,0,1,0,0,0,0,1
T.J. Green,/players/G/GreeT.00.htm,1,0,0,0,0,0,0
Johnathan Hankins,/players/H/HankJo00.htm,0,0,0,3,0,1,0
Margus Hunt,/players/H/HuntMa00.htm,0,0,0,1,0,0,1
Barkevious Mingo,/players/M/MingBa00.htm,0,0,0,2,0,0,0
Antonio Morrison,/players/M/MorrAn01.htm,1,1,0,2,1,0,0
Jabaal Sheard,/players/S/SheaJa00.htm,0,0,1,0,0,0,1
John Simon,/players/S/SimoJo01.htm,0,0,0,1,0,0,0
Grover Stewart,/players/S/StewGr00.htm,1,0,0,1,0,0,0
Al Woods,/players/W/WoodAl99.htm,0,0,0,2,0,2,0
