player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Jayon Brown,/players/B/BrowJa06.htm,0,0,3,0,0,0,0
Kevin Byard,/players/B/ByarKe01.htm,0,1,2,1,0,1,1
Jurrell Casey,/players/C/CaseJu00.htm,0,1,2,1,1,0,0
Adoree' Jackson,/players/J/JackAd00.htm,0,0,0,0,1,0,0
Austin Johnson,/players/J/JohnAu01.htm,0,0,0,0,1,2,0
DaQuan Jones,/players/J/JoneDa04.htm,0,0,1,0,0,0,0
Karl Klug,/players/K/KlugKa00.htm,0,0,0,1,1,0,0
Derrick Morgan,/players/M/MorgDe99.htm,0,0,0,0,0,1,0
Brian Orakpo,/players/O/OrakBr99.htm,0,0,2,0,0,1,0
Nate Palmer,/players/P/PalmNa01.htm,0,1,0,1,1,0,0
Curtis Riley,/players/R/RileCu00.htm,0,1,0,1,0,0,0
Logan Ryan,/players/R/RyanLo00.htm,0,0,1,1,0,1,0
Da'Norris Searcy,/players/S/SearDa00.htm,0,1,1,0,0,0,0
Erik Walden,/players/W/WaldEr99.htm,0,0,0,0,1,0,2
Avery Williamson,/players/W/WillAv00.htm,0,0,2,1,1,1,0
Sylvester Williams,/players/W/WillSy00.htm,0,0,0,0,0,1,1
Wesley Woodyard,/players/W/WoodWe20.htm,0,1,3,2,1,2,0
Johnthan Banks,/players/B/BankJo00.htm,1,0,0,0,0,0,0
Jadeveon Clowney,/players/C/ClowJa00.htm,1,0,0,0,0,0,0
Dylan Cole,/players/C/ColeDy00.htm,0,0,1,0,0,0,1
Christian Covington,/players/C/CoviCh00.htm,0,0,1,0,0,1,0
Zach Cunningham,/players/C/CunnZa00.htm,0,1,0,0,0,1,0
Brandon Dunn,/players/D/DunnBr00.htm,0,0,1,0,0,1,0
Marcus Gilchrist,/players/G/GilcMa00.htm,0,1,0,0,0,0,0
Andre Hal,/players/H/HalxAn00.htm,0,0,0,1,0,1,0
Joel Heath,/players/H/HeatJo00.htm,0,0,0,1,0,0,0
Kareem Jackson,/players/J/JackKa99.htm,0,1,0,0,0,0,0
Johnathan Joseph,/players/J/JoseJo20.htm,0,0,0,0,0,1,0
Benardrick McKinney,/players/M/McKiBe00.htm,0,2,0,1,0,0,0
Whitney Mercilus,/players/M/MercWh00.htm,0,0,0,1,0,0,0
Corey Moore,/players/M/MoorCo00.htm,0,0,1,0,0,0,0
D.J. Reader,/players/R/ReadD.00.htm,0,0,1,0,0,0,0
Brennan Scarlett,/players/S/ScarBr00.htm,0,0,0,0,0,1,0
Carlos Watkins,/players/W/WatkCa00.htm,0,0,0,1,0,0,0
