player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Jahleel Addae,/players/A/AddaJa00.htm,2,0,0,1,0,0,0
Joey Bosa,/players/B/BosaJo00.htm,0,0,0,3,0,0,0
Tre Boston,/players/B/BostTr00.htm,1,0,0,1,0,0,1
Jatavis Brown,/players/B/BrowJa05.htm,0,0,0,2,0,0,0
Kyle Emanuel,/players/E/EmanKy00.htm,0,0,0,1,0,0,0
Melvin Ingram,/players/I/IngrMe00.htm,0,0,0,2,0,0,0
Tenny Palepoi,/players/P/PaleTe00.htm,1,0,0,0,0,0,0
Denzel Perryman,/players/P/PerrDe00.htm,1,0,0,2,0,0,2
Darius Philon,/players/P/PhilDa01.htm,1,0,0,1,0,0,0
Damion Square,/players/S/SquaDa00.htm,0,0,0,0,0,0,1
Korey Toomer,/players/T/ToomKo00.htm,0,0,0,3,0,0,0
A.J. Bouye,/players/B/BouyA.00.htm,1,0,0,0,0,0,1
Calais Campbell,/players/C/CampCa99.htm,0,0,0,1,0,0,2
Barry Church,/players/C/ChurBa99.htm,1,0,0,1,0,0,0
Aaron Colvin,/players/C/ColvAa00.htm,0,0,0,1,0,0,0
Marcell Dareus,/players/D/DareMa00.htm,1,0,0,2,0,0,0
Tashaun Gipson,/players/G/GipsTa00.htm,1,0,0,1,1,0,0
Malik Jackson,/players/J/JackMa02.htm,1,0,0,1,0,0,1
Myles Jack,/players/J/JackMy00.htm,0,0,0,4,0,0,0
Abry Jones,/players/J/JoneAb00.htm,0,0,0,4,0,0,0
Paul Posluszny,/players/P/PoluPa99.htm,0,0,0,1,0,0,0
Telvin Smith,/players/S/SmitTe01.htm,0,0,0,5,0,0,1
