player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
NaVorro Bowman,/players/B/BowmNa99.htm,0,0,1,3,0,0,1
Shilique Calhoun,/players/C/CalhSh00.htm,0,0,0,1,0,0,0
Bruce Irvin,/players/I/IrviBr00.htm,1,0,1,0,0,0,1
Karl Joseph,/players/J/JoseKa00.htm,0,0,0,1,0,0,0
Darius Latham,/players/L/LathDa01.htm,0,0,0,0,0,1,0
Khalil Mack,/players/M/MackKh00.htm,0,1,0,3,0,0,0
Dexter McDonald,/players/M/McDoDe02.htm,0,0,0,1,0,0,0
Nicholas Morrow,/players/M/MorrNi00.htm,0,0,0,0,0,0,1
Reggie Nelson,/players/N/NelsRe99.htm,2,0,1,2,0,0,0
Beau Allen,/players/A/AlleBe00.htm,0,0,0,1,0,0,1
Derek Barnett,/players/B/BarnDe01.htm,0,0,0,1,0,0,0
Nigel Bradham,/players/B/BradNi00.htm,0,1,0,4,0,0,1
Fletcher Cox,/players/C/CoxxFl00.htm,0,0,0,1,0,0,2
Vinny Curry,/players/C/CurrVi00.htm,0,0,0,3,0,0,1
Ronald Darby,/players/D/DarbRo00.htm,2,0,1,1,0,0,0
Dannell Ellerbe,/players/E/ElleDa99.htm,1,0,0,3,0,0,0
Brandon Graham,/players/G/GrahBr99.htm,1,0,0,1,0,0,2
Malcolm Jenkins,/players/J/JenkMa99.htm,1,0,0,1,0,0,1
Timmy Jernigan,/players/J/JernTi00.htm,0,0,0,0,0,0,1
Chris Long,/players/L/LongCh99.htm,0,0,0,1,0,0,1
Rodney McLeod,/players/M/McLeRo00.htm,1,0,1,3,0,0,0
Jalen Mills,/players/M/MillJa02.htm,0,0,0,2,0,0,0
