player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Peyton Barber,/players/B/BarbPe01.htm,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,/players/B/BratCa00.htm,0,0,0,0,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mike Evans,/players/E/EvanMi00.htm,1,0,0,0,2,1,14,0,2,0,0,0,1,1,16,0,2,1,29,0,2,2,33,0,0,0,0,0
Chris Godwin,/players/G/GodwCh00.htm,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0
O.J. Howard,/players/H/HowaO.00.htm,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0,0,2,2,46,0,0,0,0,0
Adam Humphries,/players/H/HumpAd00.htm,2,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSean Jackson,/players/J/JackDe00.htm,1,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,0,0,0,0,0
Doug Martin,/players/M/MartDo00.htm,1,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Sims,/players/S/SimsCh00.htm,3,1,9,0,0,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenyan Drake,/players/D/DrakKe00.htm,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarQueis Gray,/players/G/GrayMa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarvis Landry,/players/L/LandJa00.htm,4,2,9,1,1,0,0,0,4,3,37,0,1,0,0,0,0,0,0,0,1,1,49,0,2,2,0,2
DeVante Parker,/players/P/ParkDe01.htm,6,2,7,0,1,0,0,0,1,1,2,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Stills,/players/S/StilKe00.htm,1,1,14,0,1,1,7,0,1,1,9,0,2,2,71,0,1,1,18,0,2,1,61,1,0,0,0,0
Julius Thomas,/players/T/ThomJu00.htm,1,1,2,0,1,1,11,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Williams,/players/W/WillDa05.htm,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
