player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Eric Ebron,/players/E/EbroEr00.htm,0,0,0,0,0,0,0,0,5,5,42,1,0,0,0,0,0,0,0,0,0,0,0,0
Darren Fells,/players/F/FellDa01.htm,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Golladay,/players/G/GollKe00.htm,1,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marvin Jones,/players/J/JoneMa02.htm,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,27,1
Theo Riddick,/players/R/RiddTh00.htm,1,1,7,0,1,1,5,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,/players/T/TateGo00.htm,1,1,5,0,0,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerell Adams,/players/A/AdamJe01.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,0
Odell Beckham,/players/B/BeckOd00.htm,1,1,10,0,2,2,22,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Orleans Darkwa,/players/D/DarkOr00.htm,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhett Ellison,/players/E/ElliRh00.htm,0,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Engram,/players/E/EngrEv00.htm,2,1,7,0,0,0,0,0,3,2,24,0,1,0,0,0,1,1,18,1,0,0,0,0
Roger Lewis,/players/L/LewiRo03.htm,0,0,0,0,1,1,8,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Marshall,/players/M/MarsBr00.htm,0,0,0,0,0,0,0,0,3,1,17,0,1,0,0,0,0,0,0,0,1,0,0,0
Paul Perkins,/players/P/PerkPa00.htm,0,0,0,0,1,1,5,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling Shepard,/players/S/ShepSt00.htm,1,1,12,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shane Vereen,/players/V/VereSh00.htm,2,2,7,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
