player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Tavon Austin,/players/A/AustTa00.htm,0,0,0,0,0,0,0,0,2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brown,/players/B/BrowMa03.htm,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Everett,/players/E/EverGe00.htm,0,0,0,0,1,0,0,0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0
Todd Gurley,/players/G/GurlTo01.htm,2,2,22,0,2,2,13,0,3,2,6,0,0,0,0,0,1,1,53,1,0,0,0,0
Tyler Higbee,/players/H/HigbTy00.htm,0,0,0,0,1,0,0,0,2,2,18,0,1,0,0,0,0,0,0,0,2,1,29,0
Cooper Kupp,/players/K/KuppCo00.htm,4,2,11,1,0,0,0,0,3,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,/players/W/WatkSa00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,0
Robert Woods,/players/W/WoodRo02.htm,2,0,0,0,0,0,0,0,3,1,-2,0,0,0,0,0,1,1,19,0,0,0,0,0
Cole Beasley,/players/B/BeasCo00.htm,2,1,0,0,2,1,12,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Bryant,/players/B/BryaDe01.htm,3,0,0,0,2,2,30,0,2,1,14,0,0,0,0,0,3,1,18,0,3,1,36,0
Brice Butler,/players/B/ButlBr00.htm,2,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezekiel Elliott,/players/E/ElliEz00.htm,3,2,41,1,0,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
James Hanna,/players/H/HannJa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,1
Terrance Williams,/players/W/WillTe01.htm,1,1,3,0,0,0,0,0,4,3,31,0,0,0,0,0,0,0,0,0,1,0,0,0
Jason Witten,/players/W/WittJa00.htm,1,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
