player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Derrick Coleman,/players/C/ColeDe00.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tevin Coleman,/players/C/ColeTe01.htm,2,1,8,0,2,2,23,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Devonta Freeman,/players/F/FreeDe00.htm,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Gabriel,/players/G/GabrTa00.htm,1,0,0,0,1,1,18,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hooper,/players/H/HoopAu00.htm,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88,1,0,0,0,0
Julio Jones,/players/J/JoneJu02.htm,0,0,0,0,2,2,44,0,2,1,4,0,0,0,0,0,0,0,0,0,1,1,18,0
Mohamed Sanu,/players/S/SanuMo00.htm,3,3,17,0,2,1,15,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Levine Toilolo,/players/T/ToilLe00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Josh Bellamy,/players/B/BellJo02.htm,1,0,0,0,1,1,14,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Cohen,/players/C/CoheTa00.htm,4,2,12,0,2,2,10,0,5,4,25,1,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Howard,/players/H/HowaJo00.htm,3,1,5,0,1,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Miller,/players/M/MillZa02.htm,3,2,23,0,1,1,8,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Sims,/players/S/SimsDi00.htm,2,1,9,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Thompson,/players/T/ThomDe04.htm,1,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin White,/players/W/WhitKe00.htm,2,0,0,0,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Wright,/players/W/WrigKe01.htm,2,1,8,0,1,1,16,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
