player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Jaron Brown,/players/B/BrowJa03.htm,1,1,6,0,0,0,0,0,1,1,13,0,2,0,0,0,0,0,0,0,2,1,20,0
John Brown,/players/B/BrowJo02.htm,2,1,13,0,1,1,13,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Andre Ellington,/players/E/ElliAn00.htm,1,1,9,0,1,1,13,0,8,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,/players/F/FitzLa00.htm,3,2,18,0,3,2,21,0,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,/players/G/GresJe00.htm,1,1,2,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Johnson,/players/J/JohnCh04.htm,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ Nelson,/players/N/NelsJJ00.htm,4,3,61,0,0,0,0,0,1,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0
Elijhaa Penny,/players/P/PennEl00.htm,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Seals-Jones,/players/S/SealRi00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nelson Agholor,/players/A/AghoNe00.htm,3,2,4,0,0,0,0,0,0,0,0,0,1,1,72,1,0,0,0,0,1,1,17,0
Trey Burton,/players/B/BurtTr01.htm,2,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Celek,/players/C/CeleBr00.htm,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Clement,/players/C/ClemCo00.htm,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,/players/E/ErtzZa00.htm,6,2,23,0,2,2,23,1,3,2,15,0,1,0,0,0,0,0,0,0,0,0,0,0
Alshon Jeffery,/players/J/JeffAl00.htm,2,2,15,0,1,1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marcus Johnson,/players/J/JohnMa07.htm,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Smith,/players/S/SmitTo02.htm,1,1,8,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,59,1,1,0,0,0
