player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Josh Bellamy,/players/B/BellJo02.htm,3,1,8,0,2,1,11,0,1,1,15,0,0,0,0,0,1,1,17,0,0,0,0,0
Tarik Cohen,/players/C/CoheTa00.htm,5,5,34,0,2,1,7,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Gentry,/players/G/GentTa00.htm,0,0,0,0,1,1,15,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Howard,/players/H/HowaJo00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Miller,/players/M/MillZa02.htm,1,1,11,0,3,1,12,0,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Sims,/players/S/SimsDi00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Thompson,/players/T/ThomDe04.htm,1,1,14,1,0,0,0,0,2,2,23,0,1,0,0,0,0,0,0,0,1,1,20,0
Kendall Wright,/players/W/WrigKe01.htm,2,2,19,0,4,2,15,0,3,2,17,0,0,0,0,0,0,0,0,0,1,1,18,0
Cameron Brate,/players/B/BratCa00.htm,2,2,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Cross,/players/C/CrosAl00.htm,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,/players/E/EvanMi00.htm,2,1,11,0,4,3,45,0,2,2,21,1,0,0,0,0,1,1,16,0,0,0,0,0
Chris Godwin,/players/G/GodwCh00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O.J. Howard,/players/H/HowaO.00.htm,0,0,0,0,1,0,0,0,1,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0
Adam Humphries,/players/H/HumpAd00.htm,2,1,9,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSean Jackson,/players/J/JackDe00.htm,1,0,0,0,0,0,0,0,3,2,18,0,1,0,0,0,0,0,0,0,2,1,21,0
Charles Sims,/players/S/SimsCh00.htm,1,1,4,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
