player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
John Brown,/players/B/BrowJo02.htm,1,0,0,0,0,0,0,0,6,4,32,0,0,0,0,0,1,0,0,0,1,0,0,0
Andre Ellington,/players/E/ElliAn00.htm,1,1,24,0,1,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,/players/F/FitzLa00.htm,4,2,12,0,5,3,58,0,1,1,4,0,1,0,0,0,0,0,0,0,2,0,0,0
Jermaine Gresham,/players/G/GresJe00.htm,0,0,0,0,3,2,19,0,1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
David Johnson,/players/J/JohnDa08.htm,2,1,16,0,2,2,22,0,4,2,5,0,1,1,24,0,0,0,0,0,0,0,0,0
JJ Nelson,/players/N/NelsJJ00.htm,5,4,34,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Niklas,/players/N/NiklTr00.htm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerwynn Williams,/players/W/WillKe05.htm,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameer Abdullah,/players/A/AbduAm00.htm,0,0,0,0,2,1,6,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Ebron,/players/E/EbroEr00.htm,1,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Golladay,/players/G/GollKe00.htm,2,1,10,1,1,0,0,0,2,2,14,0,0,0,0,0,1,1,45,1,1,0,0,0
Marvin Jones,/players/J/JoneMa02.htm,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0
T.J. Jones,/players/J/JoneT.00.htm,0,0,0,0,2,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,1,1,16,0
Theo Riddick,/players/R/RiddTh00.htm,3,2,4,0,2,2,20,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,/players/T/TateGo00.htm,3,2,18,0,5,4,42,0,3,3,29,0,0,0,0,0,1,1,18,0,0,0,0,0
