player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Jamison Crowder,/players/C/CrowJa00.htm,1,0,0,0,1,1,20,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon Davis,/players/D/DaviVe00.htm,1,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,31,0,1,1,31,0
Josh Doctson,/players/D/DoctJo00.htm,1,1,17,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,2,1,17,0
Ryan Grant,/players/G/GranRy01.htm,2,2,9,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Kelley,/players/K/KellRo00.htm,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Niles Paul,/players/P/PaulNi00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,0,0,0,0
Terrelle Pryor,/players/P/PryoTe00.htm,2,1,5,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Reed,/players/R/ReedJo02.htm,4,4,17,1,1,1,9,0,3,2,18,1,0,0,0,0,1,1,20,0,1,0,0,0
Chris Thompson,/players/T/ThomCh03.htm,4,4,19,1,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,/players/A/AghoNe00.htm,2,1,14,0,2,2,21,0,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
Trey Burton,/players/B/BurtTr01.htm,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Celek,/players/C/CeleBr00.htm,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Clement,/players/C/ClemCo00.htm,0,0,0,0,0,0,0,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,/players/E/ErtzZa00.htm,2,2,16,1,0,0,0,0,1,1,6,0,1,1,46,0,1,1,21,0,0,0,0,0
Mack Hollins,/players/H/HollMa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,1
Alshon Jeffery,/players/J/JeffAl00.htm,2,1,13,0,0,0,0,0,2,0,0,0,1,1,24,0,0,0,0,0,1,0,0,0
Marcus Johnson,/players/J/JohnMa07.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wendell Smallwood,/players/S/SmalWe00.htm,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Smith,/players/S/SmitTo02.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
