player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Jamison Crowder,/players/C/CrowJa00.htm,0,0,0,0,1,0,0,0,3,2,16,0,1,0,0,0,1,1,18,0,0,0,0,0
Vernon Davis,/players/D/DaviVe00.htm,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,23,1
Josh Doctson,/players/D/DoctJo00.htm,1,1,13,0,3,2,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ryan Grant,/players/G/GranRy01.htm,0,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niles Paul,/players/P/PaulNi00.htm,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Samaje Perine,/players/P/PeriSa00.htm,1,1,-4,0,1,1,6,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Quick,/players/Q/QuicBr00.htm,0,0,0,0,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen,/players/A/AlleKe00.htm,3,2,22,0,1,1,15,0,2,1,2,0,1,1,21,0,0,0,0,0,1,1,51,0
Travis Benjamin,/players/B/BenjTr00.htm,1,1,7,0,1,0,0,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Cumberland,/players/C/CumbJe00.htm,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Ekeler,/players/E/EkelAu00.htm,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Gates,/players/G/GateAn00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,/players/G/GordMe00.htm,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,/players/H/HenrHu00.htm,3,2,28,0,2,1,14,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Williams,/players/W/WillMi07.htm,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Williams,/players/W/WillTy00.htm,1,1,3,0,0,0,0,0,0,0,0,0,1,1,20,0,1,1,75,1,1,1,34,0
