player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Noah Brown,/players/B/BrowNo00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Bryant,/players/B/BryaDe01.htm,1,1,5,0,1,0,0,0,4,2,19,0,1,0,0,0,0,0,0,0,1,0,0,0
Brice Butler,/players/B/ButlBr00.htm,0,0,0,0,0,0,0,0,1,1,20,1,1,1,30,0,0,0,0,0,0,0,0,0
Ezekiel Elliott,/players/E/ElliEz00.htm,2,1,6,0,0,0,0,0,3,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0
James Hanna,/players/H/HannJa00.htm,1,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Switzer,/players/S/SwitRy00.htm,3,2,14,0,1,1,12,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Williams,/players/W/WillTe01.htm,1,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0
Jason Witten,/players/W/WittJa00.htm,0,0,0,0,1,1,9,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,/players/A/AghoNe00.htm,2,2,4,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenjon Barner,/players/B/BarnKe00.htm,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeGarrette Blount,/players/B/BlouLe00.htm,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Burton,/players/B/BurtTr01.htm,1,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Celek,/players/C/CeleBr00.htm,0,0,0,0,1,1,5,0,2,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0
Corey Clement,/players/C/ClemCo00.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,/players/E/ErtzZa00.htm,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelton Gibson,/players/G/GibsSh00.htm,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,/players/H/HollMa00.htm,1,1,4,0,0,0,0,0,4,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Alshon Jeffery,/players/J/JeffAl00.htm,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0
Marcus Johnson,/players/J/JohnMa07.htm,2,2,22,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wendell Smallwood,/players/S/SmalWe00.htm,2,2,13,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Smith,/players/S/SmitTo02.htm,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
