player_name,pen,yds
Kevin Pierre-Louis,Offensive Holding,10
Demetrius Harris,False Start,5
NaVorro Bowman,Defensive Holding,5
Tanoh Kpassagnon,Defensive Pass Interference,18
Mitchell Schwartz,Ineligible Downfield Pass,5
Bruce Irvin,Defensive Offside,5
Michael Crabtree,False Start,5
Jared Cook,Offensive Holding,4
Seth Roberts,Illegal Shift,5
Ron Parker,Defensive Pass Interference,11
Michael Crabtree,Offensive Pass Interference,10
Laurent Duvernay-Tardif,Offensive Holding,10
Bryan Witzmann,Offensive Holding,10
Donald Penn,False Start,5
