player_name,pen,yds
Chris Clark,Illegal Block Above the Waist,10
Chris Clark,Offensive Holding ,-1
Chris Thompson,Player Out of Bounds on Punt,5
D.J. Reader,Defensive Holding,5
Ron Parker,Defensive Pass Interference ,-1
Marcus Gilchrist,Unnecessary Roughness,15
Bryan Witzmann,Ineligible Downfield Pass,5
Jadeveon Clowney,Roughing the Passer,4
Xavier Su'a-Filo,Illegal Use of Hands,10
Cameron Erving,Offensive Holding,10
Phillip Gaines,Defensive Pass Interference,31
Ukeme Eligwe,Offside on Free Kick,5
Johnathan Joseph,Defensive Holding ,-1
Breno Giacomini,Offensive Holding ,-1
Nick Martin,Offensive Holding,10
Eric Murray,Illegal Use of Hands,9
Jordan Devey,Offensive Holding,4
