player_name,pen,yds
Elvis Dumervil,Neutral Zone Infraction,5
Arik Armstead,Defensive Holding ,-1
Frank Clark,Neutral Zone Infraction,5
Jarran Reed,Illegal Use of Hands,5
Luke Willson,Offensive Holding,10
Brian Hoyer,Intentional Grounding,11
Cliff Avril,Face Mask ,-1
Cliff Avril,Neutral Zone Infraction,5
Carlos Hyde,Offensive Pass Interference ,-1
Justin Coleman,Offensive Holding,6
Ray-Ray Armstrong,Unnecessary Roughness,15
Germain Ifedi,Offensive Holding,10
Aaron Lynch,Defensive Offside,5
Daniel Kilgore,Offensive Holding,10
Justin Britt,False Start,5
Dontae Johnson,Defensive Pass Interference,20
Shaquill Griffin,Illegal Block Above the Waist,10
