player_name,pen,yds
Morris Claiborne,Defensive Holding,5
Brian Winters,Offensive Holding,10
Yannick Ngakoue,Neutral Zone Infraction,5
Austin Seferian-Jenkins,False Start,5
Dante Fowler,Neutral Zone Infraction,5
Brian Winters,False Start,5
Steve McLendon,Encroachment,5
Chandler Catanzaro,Delay of Game,5
Patrick Omameh,Illegal Use of Hands,10
Patrick Omameh,Offensive Holding ,-1
Jordan Jenkins,Illegal Use of Hands,5
James Carpenter,False Start,5
Arrelious Benn,Offensive Holding,10
Buster Skrine,Defensive Pass Interference,15
Austin Seferian-Jenkins,Offensive Holding,10
Arrelious Benn,Illegal Block Above the Waist,2
Paul Posluszny,Unsportsmanlike Conduct,15
