player_name,pen,yds
Daniel Kilgore,Offensive Holding ,-1
Blake Countess,Defensive Offside,5
Dontae Johnson,Defensive Holding,5
Robert Quinn,Defensive Offside,5
Joe Staley,False Start,5
Kyle Juszczyk,Offensive Holding,10
Laken Tomlinson,False Start,5
LAR,Defensive ,-1
Rashard Robinson,Defensive Pass Interference ,-1
Jimmie Ward,Unnecessary Roughness,2
Rashard Robinson,Defensive Pass Interference,8
Austin Blythe,False Start,5
Aaron Donald,Roughing the Passer,15
Rashard Robinson,Illegal Use of Hands,5
DeForest Buckner,Defensive Offside,5
Ray-Ray Armstrong,Horse Collar Tackle,-1
LAR,False Start,5
Trumaine Johnson,Defensive Pass Interference,12
Trent Taylor,Offensive Pass Interference,10
