player_name,pen,yds
Korey Toomer,Illegal Block Above the Waist,10
Melvin Ingram,Defensive Offside,5
Charcandrick West,Chop Block,15
Jatavis Brown,Offensive Holding,10
Dan Feeney,Offensive Holding ,-1
Brandon Mebane,Defensive Holding,5
Darrelle Revis,Defensive Pass Interference,8
Terrance Smith,Offensive Holding,10
Joey Bosa,Neutral Zone Infraction,5
Eric Fisher,Illegal Use of Hands,10
Jatavis Brown,Defensive Offside,5
Desmond King,Defensive Holding ,-1
Laurent Duvernay-Tardif,False Start,5
Bennie Logan,Unnecessary Roughness,15
Sam Tevi,False Start,5
Hayes Pullard,Defensive Pass Interference,6
Terrance Mitchell,Defensive Pass Interference,8
Sam Tevi,Offensive Holding,10
