player_name,pen,yds
Chris Hubbard,False Start,5
David DeCastro,Offensive Holding,10
Maurkice Pouncey,Illegal Block Above the Waist,10
Alex Collins,Offensive Holding,11
Sam Koch,Delay of Game,4
Willie Henry,Defensive Offside,5
Alejandro Villanueva,Unnecessary Roughness,15
Marlon Humphrey,Defensive Offside ,-1
David DeCastro,False Start,5
Jimmy Smith,Defensive Holding ,-1
JuJu Smith-Schuster,Illegal Block Above the Waist,10
Artie Burns,Illegal Block Above the Waist,-1
Za'Darius Smith,Roughing the Passer,15
Chris Hubbard,False Start,5
Chuck Clark,Offensive Holding,10
Austin Howard,Offensive Holding,10
Terrell Suggs,Defensive Offside ,-1
Bud Dupree,Defensive Offside ,-1
