player_name,pen,yds
Isaiah Crowell,Illegal Block Above the Waist,10
Breno Giacomini,False Start,2
Larry Ogunjobi,Encroachment,5
Kevin Hogan,Delay of Game,5
Marcus Burley,Illegal Block Above the Waist,10
Chris Clark,Offensive Holding ,-1
Sammie Coates,Illegal Block Above the Waist,10
Jamie Meder,Defensive Holding,5
Briean Boddy-Calhoun,Defensive Offside ,-1
Emmanuel Ogbah,Defensive Holding,5
Eddie Pleasant,Defensive Pass Interference,6
CLE,Illegal Formation ,-1
Christian Kirksey,Defensive Holding,5
Randall Telfer,Offensive Holding,10
J.C. Tretter,Offensive Holding,10
Shon Coleman,Offensive Holding ,-1
Marcus Williams,Defensive Pass Interference,26
