player_name,pen,yds
Yannick Ngakoue,Unsportsmanlike Conduct,15
Andre Smith,Unsportsmanlike Conduct,15
Blair Brown,Offensive Holding,10
Andrew Billings,Defensive Holding,5
Jalen Ramsey,Disqualification ,-1
Cedric Ogbuehi,Offensive Holding,10
Andre Smith,Illegal Use of Hands ,-1
Dre Kirkpatrick,Defensive Pass Interference,12
Adam Jones,Face Mask ,-1
Arrelious Benn,Illegal Block Above the Waist,10
Matt Overton,Offensive Holding,10
Clayton Fejedelem,Offensive Holding,10
Russell Bodine,Offensive Holding,5
Vontaze Burfict,Face Mask ,-1
Josh Wells,False Start,5
