player_name,pen,yds
Tyvon Branch,Illegal Contact ,-1
Carson Palmer,Delay of Game,5
Xavier Williams,Encroachment,5
Josh Mauro,Neutral Zone Infraction,5
Lamarcus Joyner,Defensive Holding,5
Rob Havenstein,False Start,5
Malcolm Brown,Illegal Block Above the Waist,10
Robert Nkemdiche,Neutral Zone Infraction,5
Tyrann Mathieu,Illegal Contact,5
Rodney Gunter,Neutral Zone Infraction,5
Derek Carrier,Illegal Block Above the Waist,10
Josh Bynes,Unnecessary Roughness,15
Jermaine Gresham,Offensive Holding,10
Jermaine Gresham,False Start,5
Josh Mauro,Neutral Zone Infraction,5
Jamon Brown,False Start,5
Cooper Kupp,Offensive Holding,10
Troy Hill,Defensive Pass Interference ,-1
Jared Veldheer,Offensive Holding ,-1
