player_name,pen,yds
Keenan Allen,Illegal Block Above the Waist,10
David Sharpe,Offensive Holding,10
Keenan Allen,Illegal Block Above the Waist,10
Antonio Hamilton,Defensive Pass Interference,30
Seth Roberts,Illegal Block Above the Waist,10
Joe Barksdale,False Start,5
Joe Barksdale,Offensive Holding,10
Khalil Mack,Unnecessary Roughness,15
Seth Roberts,Illegal Block Above the Waist,10
Philip Rivers,Intentional Grounding,10
Kenny Wiggins,Offensive Holding ,-1
Nicholas Morrow,Offensive Holding,10
Philip Rivers,Delay of Game,5
Hayes Pullard,Unnecessary Roughness,15
David Sharpe,Offensive Holding ,-1
