player_name,pen,yds
Andy Janovich,False Start,5
Allen Barbre,False Start,5
E.J. Gaines,Defensive Pass Interference ,-1
TreDavious White,Defensive Pass Interference,1
Will Parks,Unnecessary Roughness,15
Micah Hyde,Unnecessary Roughness,15
Jerry Hughes,Roughing the Passer,13
Tyrod Taylor,Delay of Game,5
Domata Peko,Illegal Use of Hands,4
Jamal Carter,Illegal Formation,5
Nick O'Leary,Illegal Block Above the Waist,10
John Miller,Offensive Holding,10
Jamaal Charles,False Start,5
Menelik Watson,False Start,5
Ronald Leary,Offensive Holding,10
Richie Incognito,Offensive Holding,10
Demaryius Thomas,Offensive Pass Interference,10
Adolphus Washington,Illegal Use of Hands,5
Von Miller,Unsportsmanlike Conduct,15
