player_name,pen,yds
Thomas Davis,Defensive Offside ,-1
CAR,Offensive ,-1
Matt Kalil,Unnecessary Roughness,15
Trai Turner,Offensive Holding,10
Luke Kuechly,Face Mask ,-1
Shaq Thompson,Face Mask ,-1
Daryl Worley,Defensive Pass Interference,4
Travis Swanson,Offensive Holding,10
Kevon Seymour,Unsportsmanlike Conduct ,-1
Greg Robinson,Offensive Holding ,-1
Chris Manhertz,Offensive ,-1
Cameron Artis-Payne,Offside on Free Kick,5
Ed Dickson,Illegal Block Above the Waist ,-1
Charles Johnson,Defensive Offside,5
Devin Funchess,Offensive Pass Interference,7
Jared Abbrederis,Running Into the Kicker ,-1
