player_name,pen,yds
Trevor Williams,Defensive Holding ,-1
B.J. Goodson,Unsportsmanlike Conduct,15
Russell Okung,False Start,5
Jason Pierre-Paul,Defensive Offside,5
LAC,Defensive ,-1
Trevor Williams,Illegal Use of Hands,5
Nordly Capi,Running Into the Kicker ,-1
Trevor Williams,Defensive Holding ,-1
Bobby Hart,False Start,5
Philip Rivers,Intentional Grounding,16
Wayne Gallman,False Start,5
Eli Apple,Illegal Shift,5
Jason Pierre-Paul,Defensive Offside,2
Keenan Allen,Illegal Touch Pass ,-1
Melvin Gordon,False Start,5
Roger Lewis,Offensive Holding,10
Tenny Palepoi,Illegal Block Above the Waist,8
Kenny Wiggins,Offensive Holding,8
Philip Rivers,Delay of Game,5
Eli Manning,Delay of Game,5
Eli Manning,Delay of Game,5
Michael Schofield,Offensive Holding,10
Eli Apple,Defensive Holding,5
Sean McGrath,Unnecessary Roughness,15
Drew Kaser,Delay of Game,5
Bobby Hart,Illegal Use of Hands,10
D.J. Fluker,Offensive Holding ,-1
