player_name,pen,yds
Joe Haeg,False Start,5
Donte Moncrief,Offensive Pass Interference ,-1
Tyler Kroft,Offensive Holding,10
Le'Raven Clark,Offensive Holding,10
Michael Johnson,Unnecessary Roughness,15
C.J. Uzomah,Offensive Holding,9
Andre Smith,False Start,5
Chester Rogers,Offensive Pass Interference,10
Tarell Basham,Neutral Zone Infraction,5
Carl Lawson,Roughing the Passer,15
Jabaal Sheard,Defensive Offside,5
Vontaze Burfict,Defensive Holding ,-1
Pierre Desir,Defensive Holding,5
Anthony Castonzo,False Start,5
