player_name,pen,yds
Ty Nsekhe,Offensive Holding ,-1
Josh Doctson,False Start,5
Tavarres King,Offensive Holding,10
Ross Cockrell,Illegal Block Above the Waist,10
Ereck Flowers,Offensive Holding,10
A.J. Francis,Face Mask ,-1
Ross Cockrell,Defensive Pass Interference,37
Arie Kouandjio,Offensive Holding,10
Roger Lewis,Illegal Block Above the Waist,7
Niles Paul,False Start,5
Ty Nsekhe,False Start,5
Ty Nsekhe,Offensive Holding ,-1
Kirk Cousins,Delay of Game,5
Joshua Holsey,Offensive Holding,10
Kirk Cousins,Delay of Game,5
Ross Cockrell,Defensive Holding,5
Ereck Flowers,Offensive Holding ,-1
Ereck Flowers,Offensive Holding ,-1
Ereck Flowers,Offensive Holding ,-1
