player_name,pen,yds
Alshon Jeffery,Offensive Pass Interference,10
Zach Ertz,Illegal Block Above the Waist,9
Lane Johnson,Offensive Holding,4
PHI,Offensive ,-1
Nick Sundberg,Offensive Holding,10
Dexter McDougle,Offensive Holding,5
Bashaud Breeland,Defensive Holding ,-1
Junior Galette,Face Mask ,-1
Destiny Vaeao,Illegal Use of Hands,5
Wendell Smallwood,Illegal Use of Hands ,-1
Bashaud Breeland,Defensive Holding,5
Jason Kelce,Ineligible Downfield Pass,5
Quinton Dunbar,Defensive Pass Interference,10
Halapoulivaati Vaitai,False Start,5
Jalen Mills,Defensive Pass Interference,9
