player_name,pen,yds
Riley Reiff,Illegal Use of Hands,10
Justin Evans,Player Out of Bounds on Punt,5
Gerald McCoy,Encroachment,5
Ryan Russell,Defensive Offside ,-1
Nick Easton,Offensive Holding,10
Xavier Rhodes,Defensive Holding ,-1
Xavier Rhodes,Taunting,8
Cameron Lynch,Offensive Holding,10
TAM,Defensive ,-1
Anthony Barr,Horse Collar Tackle ,-1
Mackensie Alexander,Illegal Contact ,-1
William Gholston,Defensive Holding,5
Adam Thielen,Offensive Holding,10
Demar Dotson,False Start,5
Tramaine Brock,Defensive Pass Interference,15
Ali Marpet,False Start,5
