player_name,pen,yds
SFO,Illegal Formation,5
Brandon Fusco,False Start,5
Trenton Brown,False Start,5
Jeremy Cash,Illegal Block Above the Waist,10
Daniel Kilgore,Offensive Holding,10
Ben Jacobs,Offensive Holding,10
Jaquiski Tartt,Unnecessary Roughness,15
Solomon Thomas,Defensive Offside,5
Russell Shepard,False Start,5
Ray-Ray Armstrong,Defensive Pass Interference,4
Daryl Worley,Defensive Holding ,-1
Brian Hoyer,Delay of Game,5
Matt Kalil,Offensive Holding,10
Ray-Ray Armstrong,Face Mask ,-1
George Kittle,False Start,5
Charles Johnson,Defensive Holding,5
