player_name,pen,yds
Brent Qvale,Offensive Holding,9
Brian Winters,Offensive Holding,5
Jermaine Kearse,Offensive Pass Interference,10
Donovan Smith,False Start,5
J.R. Sweezy,False Start,5
Brian Winters,Offensive Holding,10
NYJ,Illegal Formation ,-1
Kendell Beckwith,Defensive Offside,5
Austin Seferian-Jenkins,Offensive Holding,10
Donovan Smith,Offensive Holding,10
Buster Skrine,Unnecessary Roughness,15
Marcus Maye,Illegal Contact,5
Darryl Roberts,Defensive Pass Interference,13
J.R. Sweezy,Offensive Holding,10
Chris Baker,Roughing the Passer,15
