player_name,pen,yds
Malcom Brown,Neutral Zone Infraction,5
Stephon Gilmore,Defensive Pass Interference,8
Mike Pouncey,Offensive Holding,10
Cameron Fleming,False Start,5
Xavien Howard,Defensive Pass Interference,20
Laremy Tunsil,Offensive Holding,10
Cameron Wake,Neutral Zone Infraction,5
Jonathan Jones,Defensive Pass Interference,21
Alterraun Verner,Defensive Pass Interference,17
Jordan Lucas,Unsportsmanlike Conduct,15
Deatrich Wise Jr.,Neutral Zone Infraction,5
Nic Grigsby,Offensive Holding ,-1
Torry McTyer,Illegal Block Above the Waist,10
Joe Thuney,Offensive Holding,10
Cameron Wake,Defensive Holding ,-1
James White,Illegal Motion,4
Nate Solder,Offensive Holding,10
