player_name,pen,yds
Eric Wilson,Unnecessary Roughness,15
Rashod Hill,Offensive Holding,10
CLE,Illegal Formation ,-1
Danny Isidora,Chop Block,13
Mike Jordan,Defensive Pass Interference,12
Anthony Harris,Illegal Contact ,-1
Shamar Stephen,Face Mask ,-1
Xavier Rhodes,Illegal Use of Hands,5
Briean Boddy-Calhoun,Defensive Pass Interference,14
Jamie Collins,Roughing the Passer,15
Jamar Taylor,Defensive Pass Interference,30
Briean Boddy-Calhoun,Defensive Holding,3
David Njoku,Offensive Pass Interference ,-1
