player_name,pen,yds
Frank Clark,Defensive Offside,5
Eric Reid,Unnecessary Roughness,15
Ethan Pocic,False Start,5
Garrett Celek,Illegal Block Above the Waist,10
SEA,Illegal Shift ,-1
C.J. Beathard,Intentional Grounding,11
Greg Mabin,Offensive Holding,10
Bradley Pinion,Delay of Game ,-1
J.D. McKissic,Offensive Pass Interference,10
Dontae Johnson,Defensive Pass Interference,19
Michael Bennett,Defensive Offside,5
Luke Joeckel,False Start,5
SFO,Illegal Motion,5
Michael Bennett,Defensive Offside,5
Erik Magnuson,False Start,4
