player_name,pen,yds
Darian Stewart,Defensive Pass Interference,10
DEN,Unsportsmanlike Conduct,-1
A.J. Derby,False Start,5
Chris McCain,Neutral Zone Infraction,5
Philip Rivers,Intentional Grounding,16
Garett Bolles,Offensive Holding,10
Adam Gotsis,Defensive Holding,5
Antonio Gates,False Start,5
Shaquil Barrett,Defensive Offside ,-1
Melvin Ingram,Roughing the Passer,15
Philip Rivers,Delay of Game,5
Melvin Gordon,False Start,4
Demaryius Thomas,Offensive Pass Interference,5
Russell Okung,Unnecessary Roughness,15
Nick Dzubnar,Offensive Holding,10
Philip Rivers,Delay of Game,6
Bradley Roby,Defensive Pass Interference,3
Allen Barbre,Illegal Formation,5
Garett Bolles,Offensive Holding,10
Zaire Anderson,Face Mask ,-1
