player_name,pen,yds
Eli Apple,Offensive Holding,10
Jerell Adams,False Start,5
Ricky Seals-Jones,Offensive Holding,10
Brandon Dixon,Illegal Use of Hands ,-1
Deone Bucannon,Defensive Holding ,-1
Jon Halapio,Offensive Holding,10
Rodney Gunter,Defensive ,-1
Haason Reddick,Defensive Offside,5
Jermaine Gresham,False Start,5
Eli Manning,Delay of Game,5
Ryan Murphy,Offensive Holding,6
Olivier Vernon,Roughing the Passer,15
Roger Lewis,Offensive Pass Interference,10
Frostee Rucker,Illegal Block Above the Waist,10
Will Holden,Offensive Holding,10
Ross Cockrell,Defensive Pass Interference,20
Brett Jones,Illegal Use of Hands,10
Ereck Flowers,Offensive Holding,10
Ereck Flowers,Offensive Holding ,-1
