player_name,pen,yds
Terrance Mitchell,Defensive Pass Interference,12
Allen Bailey,Defensive Holding ,-1
Dee Ford,Defensive Offside,5
Daniel Sorensen,Defensive ,-1
Brandon King,Unnecessary Roughness,15
Terrance Mitchell,Defensive Holding,3
De'Anthony Thomas,Interference with Opportunity to,15
Frank Zombo,Offensive Holding,9
Eric Fisher,Offensive Holding,4
Malcolm Butler,Defensive Pass Interference,20
Bryan Witzmann,Offensive Holding,10
Daniel Sorensen,Unnecessary Roughness,15
Terrance Mitchell,Defensive Holding,5
Terrance Mitchell,Defensive Pass Interference,26
Travis Kelce,Taunting,10
Laurent Duvernay-Tardif,Offensive Holding ,-1
Brandon Bolden,Running Into the Kicker,5
Cassius Marsh,Running Into the Kicker,5
Phillip Gaines,Defensive Holding ,-1
Tom Brady,Illegal Forward Pass,5
Bryan Witzmann,False Start,5
Frank Zombo,Illegal Block Above the Waist,10
NWE,Defensive ,-1
