player_name,pen,yds
Tre Boston,Unnecessary Roughness,15
Michael Davis,Illegal Touch Kick ,-1
Lerentee McCray,Offensive Holding,10
Ben Koyack,Illegal Crackback,14
Rayshawn Jenkins,Unnecessary Roughness,13
Cam Robinson,Offensive Holding ,-1
A.J. Bouye,Defensive Pass Interference,22
Telvin Smith,Unsportsmanlike Conduct,15
Cam Robinson,Offensive Holding ,-1
Marcedes Lewis,False Start,5
Dan Feeney,Offensive Holding,10
Peyton Thompson,Player Out of Bounds on Punt,5
Cam Robinson,False Start,5
Philip Rivers,Delay of Game,5
Trevor Williams,Defensive Pass Interference,14
Marqise Lee,Taunting,15
Joey Bosa,Roughing the Passer,15
Josh Wells,Offensive Holding ,-1
Aaron Colvin,Taunting,15
LAC,Defensive Delay of Game,5
