player_name,pen,yds
Mark Barron,Defensive Holding,5
Denzelle Good,False Start,5
Rob Havenstein,Offensive Holding,10
Tyler Higbee,False Start,5
Christopher Milton,Illegal Block Above the Waist,6
Andrew Whitworth,False Start,5
John Sullivan,False Start,5
Jamon Brown,Offensive Holding ,-1
LAR,Offensive Holding ,-1
Hassan Ridgeway,Defensive Holding,5
Jeremy Vujnovich,Offensive Holding ,-1
Cooper Kupp,Face Mask ,-1
Donte Moncrief,Face Mask ,-1
Cory Littleton,Offensive Holding,10
Tyler Higbee,Offensive Holding,10
Margus Hunt,Encroachment,4
