player_name,pen,yds
Emmanuel Lamur,Offside on Free Kick,5
Jake Rudock,Delay of Game,5
Jalen Reeves-Maybin,Ineligible Downfield Kick,5
DET,Unsportsmanlike Conduct,15
Adam Thielen,Illegal Block Above the Waist,10
Ricky Wagner,Illegal Formation,5
Joe Berger,False Start,5
Xavier Rhodes,Defensive Holding,5
Taylor Decker,Offensive Holding ,-1
Blake Bell,Offensive Holding ,-1
Quandre Diggs,Defensive Holding,5
Tahir Whitehead,Defensive Delay of Game,5
Xavier Rhodes,Defensive Pass Interference,22
Eric Kendricks,Face Mask ,-1
Miles Killebrew,Illegal Block Above the Waist,10
Harrison Smith,Defensive Holding,5
Case Keenum,Taunting,8
MIN,Defensive ,-1
Stefon Diggs,Illegal Block Above the Waist ,-1
Darius Slay,Defensive Offside,4
