player_name,pen,yds
Eddie Goldman,Unnecessary Roughness,15
Corey Robinson,Offensive Holding,10
Marvin Jones,Illegal Block Above the Waist ,-1
Kyle Fuller,Illegal Use of Hands,5
Anthony Zettel,Neutral Zone Infraction,5
D.J. Hayden,Offensive Holding,8
Prince Amukamara,Defensive Holding,5
Darren Fells,Offensive Holding,10
DeAndre Houston-Carson,Offensive Holding,10
Akeem Spence,Encroachment,5
Charles Leno,Offensive Holding,10
Kenny Golladay,Offensive Pass Interference,10
Josh Bellamy,Illegal Block Above the Waist,10
John Timu,Offensive Holding,10
Prince Amukamara,Defensive Pass Interference,10
Hroniss Grasu,Offensive Holding,4
Josh Bellamy,Offensive Holding,2
Mitch Trubisky,Delay of Game,1
Cody Whitehair,Illegal Use of Hands,10
D.J. Hayden,Defensive Holding,5
Charles Leno,False Start,5
Nevin Lawson,Defensive Holding,5
