player_name,pen,yds
Marvin Jones,Illegal Block Above the Waist,10
Myles Garrett,Neutral Zone Infraction,5
Tahir Whitehead,Roughing the Passer,15
Seth Devalve,Offensive Holding,10
Kevin Zeitler,Offensive Holding,10
Shon Coleman,Illegal Formation ,-1
Eric Ebron,Offensive Holding,10
Briean Boddy-Calhoun,Offensive Holding,10
Jarrad Davis,Defensive Pass Interference,19
Duke Johnson,Unsportsmanlike Conduct,15
Kevin Zeitler,False Start,5
David Njoku,Offensive Holding ,-1
Nevin Lawson,Illegal Block Above the Waist,10
Myles Garrett,Defensive Offside,5
Darius Slay,Defensive Pass Interference,12
Tahir Whitehead,Illegal Contact,5
