player_name,pen,yds
Lee Smith,Unnecessary Roughness,7
Johnny Holton,Player Out of Bounds on Punt,5
Muhammad Wilkerson,Neutral Zone Infraction,5
Donald Penn,Clipping,7
Bruce Irvin,Unnecessary Roughness,15
Jon Feliciano,Unnecessary Roughness,15
Marquel Lee,Taunting,15
Nicholas Morrow,Offside on Free Kick,5
Ben Ijalana,Illegal Motion,5
Josh McCown,Delay of Game,5
Buster Skrine,Unnecessary Roughness,15
Khalil Mack,Defensive Offside,5
Morris Claiborne,Defensive Pass Interference,17
Derek Carr,False Start,5
