player_name,pen,yds
Jared Cook,False Start,5
Rodney Hudson,Offensive Holding,10
Donald Penn,Face Mask ,-1
Jamal Carter,Offensive Holding,10
Reggie Nelson,Defensive Pass Interference,30
Garett Bolles,False Start,5
Brandon Marshall,Illegal Contact ,-1
Trevor Siemian,Delay of Game,5
Ronald Leary,Offensive Holding,10
Ronald Leary,False Start,5
Gabe Jackson,Offensive Holding ,-1
Marshall Newhouse,Ineligible Downfield Pass,5
EJ Manuel,Delay of Game,5
Marquette King,Unsportsmanlike Conduct,15
Trevor Siemian,Delay of Game,5
Menelik Watson,Offensive Holding ,-1
Seth Roberts,False Start,5
