player_name,pen,yds
Eric Murray,Offensive Holding,10
Marcus Peters,Unsportsmanlike Conduct,15
Justin Simmons,Unnecessary Roughness,15
Tyreek Hill,False Start,5
Shane Ray,Neutral Zone Infraction,5
KAN,Illegal Formation ,-1
Zaire Anderson,False Start,5
Tyreek Hill,Illegal Block Above the Waist ,-1
Derek Wolfe,Defensive Holding,5
Menelik Watson,Offensive Holding,10
Kenneth Acker,Defensive Pass Interference,14
Derek Wolfe,Neutral Zone Infraction,5
Demetrius Harris,False Start,5
Garett Bolles,Offensive Holding ,-1
Eric Fisher,False Start,5
Jerrol Garcia-Williams,Offensive Holding,8
Chris Jones,Roughing the Passer,15
