player_name,pen,yds
Marcedes Lewis,False Start,5
Adrian Peterson,False Start,5
Telvin Smith,Illegal Contact,5
JAX,Illegal Shift,5
Chandler Jones,Roughing the Passer,15
ARI,Defensive ,-1
Dante Fowler,Roughing the Passer,15
Josh Bynes,Defensive Pass Interference,18
Jermaine Gresham,False Start,5
A.Q. Shipley,False Start,5
JJ Nelson,Illegal Block Above the Waist,10
Myles Jack,Horse Collar Tackle,15
Kareem Martin,Roughing the Passer,15
Frostee Rucker,Roughing the Passer,15
ARI,Delay of Game,5
